Punjabi	పంజాబీ
Velangi	వేలంగి
Utsava	ఉత్సవం
Mushaira	ముషాయిరా
Fire	ఫైర్
Brinsley	బ్రింస్లే
rate	రేట్
Georges	జార్జి
Apache	అపాచీ
Kuldip	కులదీప్‌
Safrastyan	సఫ్రస్త్యాన్
Ashvamedhika	అశ్వమేధ
Bhavanarayana	భావనారాయణ
Meitnerium	మీట్నీరియం
Harbhajan	హర్భజన్
Iniesta	ఇనిఎస్తా
Punjab	పంజాబ్
Dharmakirti	ధర్మకీర్తి
Padma	పద్మశ్రీ
Somalingapuram	సోమలింగాపురం
Pranitha	ప్రణీత
Mokkapati	మొక్కపాటి
Simlipal	సిమిలిపాల్
Eid	ఈద్
kadabur	కడబూరు
Prabhakar	ప్రభాకర్
Rehman	రెహమాన్
Pradesh	ప్రదేశ్
Pataudi	పటౌడి
Kaladu	కలదు
Gunadala	గుణదల
Plutonium	ప్లూటోనియం
Ashwin	అశ్విన్
Camera	కెమెరా
Kamesam	కామేశం
Rahim	రహీమ్
Pochera	పొచ్చెర
Koirala	కొయిరాలా
Damarukam	ఢమరుకం
Kurmannapalem	కూర్మన్నపాలెం
Nims	ఎన్ఐఎమ్ఎస్
Kandasamy	కందసామి
Tagore	టాగూరు
Mantras	మంత్రము
Society	సొసైటీ
Jehangir	జహంగీర్
Room	రూమ్
Luxembourg	లక్సెంబర్గ్
Medikonduru	మేడికొండూరు
Sarpanch	సర్పంచి
Swathi	స్వాతి
Maruti	మారుతి
Sutradhar	సూత్రధార్
Kolavennu	కోలవెన్ను
Bairisetty	బైరిశెట్టి
Rudra	రుద్రుడు
Upma	ఉప్మా
Brahmarishi	బ్రహ్మర్షి
Report	రిపోర్టు
Lankelapalem	లంకెలపాలెం
Pedapulipaka	పెద్దపులిపాక
Yugoslavia	యుగోస్లేవియా
Remote	రిమోట్
Garlamadugu	గార్లమడుగు
Kruti	కృతి
Maadhavi	మాధవీ
Gate	గేట్
Baripada	బరిపడ
Vivek	వివేక్
Amre	ఆమ్రే
Brisbane	బ్రిస్బేన్
Kasepu	కాసేపు
Sima	సీమా
Ban	బాన్
Yucca	యుక్కా
Dhanama	ధనమా
Basanti	బసంతి
Lobotomy	లోబోటోమి
Yerragondapalem	ఎర్రగొండపాలెం
Pullela	పుల్లెల
Medicharla	మేడిచెర్ల
Christmas	క్రిస్టమస్
Silam	శీలం
Mela	మేళా
trap	ట్రాప్
Dharmaatmudu	ధర్మాత్ముడు
Julapalle	జూలపల్లి
Kinnerasani	కిన్నెరసాని
Safilguda	సఫిల్‌గూడ
Shaw	షా
Naam	నామ్
Kajol	కాజోల్
Vegivadavaram	వేగివాడ
Mamallapuram	మహాబలిపురం
Gundlapally	గుండ్లపల్లి
Rice	రైస్
Sukarnoputri	సుకర్ణోపుత్రి
Kingdom	కింగ్‌డమ్
Belatthiputta	వేలట్టిపుత్త
Talamadugu	తలమడుగు
Next	నెక్ట్స్
Pedapalakaluru	పెదపలకలూరు
Kishore	కిషోర్
Govindareddipalle	గోవిందరెడ్డిపల్లె
Plug	ప్లగ్
Samhita	సంహిత
Israel	ఇజ్రాయిల్
Coronary	కొరోనరీ
Software	సాఫ్ట్‌వేర్
Veta	వేట
Pellalu	పెళ్లాలు
Undamma	ఉండమ్మా
Surfing	సర్ఫింగ్
Khaleda	ఖలేడా
Chodaganga	చోడగాంగ
Marvan	మర్వన్
Willa	విల్లా
Sahni	సహాని
Digital	డిజిటల్
Vijayashanti	విజయశాంతి
Sandade	సందడే
Total	టోటల్
Mundadugu	ముందడుగు
Ontari	ఒంటరి
K	కేశవ
Memory	మెమరీ
Mudipalli	ముదిపల్లె
Thummapala	తుమ్మపాల
Avanigadda	అవనిగడ్డ
Shivam	శివమ్
Sonal	సోనాల్
Nylon	నైలాన్
Neti	నేటి
Wimbledon	వింబుల్డన్
Image	ఇమేజ్
Varsha	వర్షా
Ane	అనే
Aarogya	ఆరోగ్య
Ceres	సెరిస్
Maheshwaram	మహేశ్వరం
Sainikudu	సైనికుడు
Kimi	కిమి
Fadnavis	ఫడ్నవిస్
Rajas	రాజసిక
Oklahoma	ఓక్లహోమా
Tarangalu	తరంగాలు
Nelakondapalli	నేలకొండపల్లి
Vengamamba	వెంగమాంబ
Breaking	బ్రేకింగ్
Ramagundam	రామగుండం
Duppalapudi	దుప్పలపూడి
Muchatlu	ముచ్చట్లు
Stylidiaceae	స్టైలిడియేసి
Aligithe	అలిగితే
Jogini	యోగిని
Alfred	ఆల్‍ఫ్రెడ్
Federer	ఫెడరర్
Mahisagar	మహిషానగర్
Nagarjuna	నాగార్జున
Ingwen	ఇంగ్వెన్
Tirumala	తిరుమల
Mangalagiri	మంగళగిరి
Baniyan	బనియన్
Prematho	ప్రేమతో
Vinu	విను
Easter	ఈస్టర్
Muthukur	ముత్తుకూరు
Yantra	యంత్రము
Uppal	ఉప్పల్
Nachadu	నచ్చాడు
Usain	ఉసేన్
Silva	సిల్వ
Special	స్పెషల్
Community	కమ్యూనిటీ
Air	ఎయిర్
Pawar	పవార్
Aada	ఆడ
Jalore	జలోర్
Christ	క్రైస్ట్‌
PellinBroca	పిల్లిన్బ్రోకా
Sujata	సుజాత
Luther	లూథర్
Network	నెట్‌వర్క్
Dean	డీన్
Ailamma	ఐలమ్మ
Jiiva	జీవా
Subbu	సుబ్బు
Panthulamma	పంతులమ్మ
Prachi	ప్రాచి
Sitharaman	సీతారామన్
Vijayapuri	విజయపురి
Palaniswami	పలనిసామి
Korisapadu	కొరిశపాడు
Guinea	గినియా
Nagavali	నాగావళి
Verticale	వెర్టికాలె
Computer	కంప్యూటరు
Naruda	నరుడా
Mahendra	మహేంద్ర
Deevinchandi	దీవించండి
Nenante	నేనంటే
Tara	తార
Menu	మెనూ
Shapatham	శపధం
Chennupati	చెన్నుపాటి
Vundavalli	ఉండవల్లి
Arimilli	అరిమిల్లి
Yamnampet	యమ్నాంపేట్
Sriramavaram	శ్రీరామవరం
Yellapragada	యల్లాప్రగడ
Zaveri	జవేరీ
Brahmarshi	బ్రహ్మర్షి
Bangladesh	బంగ్లాదేశ్
Shankarula	శంకరుల
Dental	డెంటల్
Kodallu	కోడళ్ళు
Centimetre	సెంటీమీటరు
Anderson	ఏండర్సన్
Nanditha	నందిత
Swarabhishekam	స్వరాభిషేకం
Lateef	లతీఫ్
Infrared	ఇన్ఫ్రారెడ్
Shavasana	శవాసనము
Candida	కాండిడా
Udhampur	ఉధంపూర్
Tom	టామ్
Pentala	పెండ్యాల
Head	హెడ్
Nippu	నిప్పు
Rowdylu	రౌడీలు
Kondapaturu	కొండపాటూరు
Sitakant	సీతాకాంత్
Amber	అంబర్
Rabhasa	రభస
Aditya	ఆదిత్య
Ammeter	అమ్మీటరు
Hamsageethe	హంసగీతె
Yatra	యాత్ర
Guntakal	గుంతకల్లు
Buttar	బుట్టార్
Electrostatics	ఎలెక్ట్రోస్టాటిక్స్
Seshan	శేషన్
Puttadu	పుట్టాడు
block	బ్లాక్
Sreeparru	శ్రీపర్రు
Rajdhani	రాజధాని
Pine	పైన్
wards	వార్డులు
Cardiology	కార్డియాలజీ
Lawyer	లాయర్
Vengsarkar	వెంగ్‌సర్కార్
Ankara	అంకారా
Santhamaguluru	సంతమాగులూరు
Saraswathi	సరస్వతి
Bauhinia	బాహీనియా
Jakranpally	జక్రాన్‌పల్లి
Saddam	సద్దామ్
Chinabrahmadevam	చినబ్రహ్మదేవం
Narmada	నర్మదా
Sukirti	సుకృతి
Congress	కాంగ్రెసు
Zakir	జాకిర్
Chittapuram	చిత్తాపురం
Devarapalle	దేవరపల్లి
Dhanwada	ధన్వాడ
Potti	పొట్టి
Yellamma	ఎల్లమ్మ
Che	చే
Bhagya	భాగ్యం
Bantumilli	బంటుమిల్లి
Kavali	కావాలి
Julai	జులాయి
Alauddin	అల్లావుద్దీన్
Sankham	శంఖం
Garalamadugu	గారలమడుగు
Bahubali	బాహుబలి
State	స్టేట్
Natarajan	నటరాజన్
Malwa	మాల్వా
Pillalamarri	పిల్లలమర్రి
Bhascker	భాస్కర్
Chanugondla	చానుగొండ్ల
Neher	నెహెర్
Bagha	బాఘా
Okkate	ఒక్కటే
Abhay	అభయ్
Psittaculini	ప్సిట్టాకులిని
Adidas	అడిడాస్
Narahari	నరహరి
Yasser	యాసర్
Tiruvuru	తిరువూరు
Bhajantrilu	భజంత్రీలు
Gilmore	గిల్మోర్
Avatar	అవతారం
Prawin	ప్రవీణ్
Anaesthesia	అనస్థీషియా
Madhurawada	మధురవాడ
diode	డయోడ్
Palwankar	పాల్వంకర్
Bhimbetka	భీమ్‌బేట్కా
Malabar	మలబార్
Endaro	ఎందరో
Parvathy	పార్వతి
Amir	అమీర్
Balakrishna	బాలకిషన్
Tejasvi	తేజస్వి
Shanta	శాంత
Y	వై
National	నేషనల్
Denis	డెనిస్
Peddabrahmadevam	పెదబ్రహ్మదేవం
Sherief	షెరీఫ్
Shamita	షమితా
Kaadu	కాడు
Roja	రోజా
Padayatra	పాదయాత్ర
Vidyarthi	విద్యార్థి
Kalaparru	కలపర్రు
Dechupalem	దేచుపాలెం
Halt	హాల్ట్
Maiam	మైయం
David	డేవిడ్
Diaries	డైరీస్
Pernamitta	పేర్నమిట్ట
Buddhimantudu	బుద్ధిమంతుడు
Barrister	బారిష్టరు
Luxettipet	లక్సెట్టిపేట
Spielberg	స్పీల్‌బెర్గ్
Greg	గ్రెగ్
NTR	ఎన్‌టిఆర్
Parkes	పార్క్స్
Shrivastava	శ్రీవాత్సవ
Jayaram	జయరామ్
Rim	రిమ్
Jamsetji	జమ్సేట్జి
Jamsheed	జంషీద్
Lala	లాలా
Kutty	కుట్టి
Terabyte	టెరాబైట్
Lokam	లోకం
Praanam	ప్రాణం
Brassicales	బ్రాసికేలిస్
Taliperu	తాలిపేరు
Narasapur	నర్సాపూర్
Feroz	ఫిరోజ్
Message	మెసేజ్
Chilakapachcha	చిలకపచ్చ
Varma	వర్మ
Alarm	అలారం
Studies	స్టడీస్
Cairo	కైరో
Tegh	తేగ్
Pushkin	పుష్కిన్
Following	ఫాలోయింగ్
Budampadu	బుడంపాడు
Marie	మేరీ
tube	ట్యూబు
Yarlagadda	యార్లగడ్డ
Johnny	జానీ
Mewar	మేవాడ్
Sarah	సారా
Ishika	ఇషికా
Pramanalu	ప్రమాణాలు
Atherton	ఆథర్టన్
Whip	విప్
Annapoorna	అన్నపూర్ణ
Isra	ఇస్రా
Mizoguchi	మిజోగుచి
Kotta	కొత్త
Treader	ట్రీడెర్
Jathakudu	జాతకుడు
Uttej	ఉత్తేజ్
Naguladevunipadu	నాగులదేవునిపాడు
Bachchan	బచ్చన్
Thailand	థాయిలాండ్
Taktsang	తక్త్సంగ్
Rajapet	రాజాపేట
Prabhandham	ప్రబంధము
Majuli	మజులి
Vamsi	వంశీ
Bhoke	భోకే
Karthikeyan	కార్తికేయన్
Indira	ఇందిరా
Brhaspati	బృహస్పతి
Khajaguda	కాజాగూడ
balloon	బెలూన్
Antoine	ఆంటోనీ
Lively	లైవ్లీ
Furcraea	ఫర్క్రేఏ
Kaikavolu	కైకవోలు
Chintayapalem	చింతాయపాలెం
trick	ట్రిక్
Annamacharya	అన్నమాచార్య
Terry	టెర్రీ
of	ఆఫ్
Rudolph	రుడాల్ఫ్
Break	బ్రేక్
Helium	హీలియం
Yakshagana	యక్షగానం
Veturi	వేటూరి
Dirty	డర్టీ
Demand	డిమాండ్
Pachikapalam	పాచికపాలెం
Colombia	కొలంబియా
Allamanda	అల్లెనంద
Down	డౌన్
Chittorgarh	చిత్తౌర్‌గర్
Aayanochadu	ఆయనొచ్చాడు
Lahiri	లాహిరి
Mohammed	మొహమ్మద్
Madhya	మధ్య
Factory	ఫ్యాక్టరీ
Pasupuleti	పసుపులేటి
Vinda	విందా
Chakrayapalem	చక్రాయపాలెం
Chandrasekhar	చంద్రశేఖర్
Sindhura	సింధూర
Elwin	ఎల్విన్
Talamarla	తలమర్ల
Bollimunta	బొల్లిముంత
Animal	ఏనిమల్
Germanium	జెర్మేనియం
Arasavalli	అరసవిల్లి
Zubin	జుబిన్
Peketi	పేకేటి
Aadaalla	ఆడాళ్లా
Komatigunta	కోమటిగుంట
Huntingtons	హంటింగ్టన్స్
Buddhaghosa	బుద్ధఘోషుడు
Vasant	వసంత్
Alappuzha	ఆలప్పుళా
Concrete	కాంక్రీటు
Koneru	కోనేరు
Ramesh	రమేష్
Raghavulu	రాఘవులు
mouse	మౌస్
Lucien	లూసిన్
Delaware	డెలావేర్
Borusa	బొరుసా
Kendram	కేంద్రము
Laddu	లడ్డు
Rajampalem	రాజంపాలెం
Vandanapu	వందనపు
Nicotiana	నికోటియానా
Kabaddi	కబడ్డీ
Sobti	సోబ్తి
Chak	చక్
Chowla	చౌలా
Prathyusha	ప్రత్యూష
Srungavarapukota	శృంగవరపుకోట
Kasepalli	కాశేపల్లి
Titanium	టైటానియం
Nagole	నాగోల్
Ara	అర
Gedillanka	గేదెల్లంక
Baashha	బాషా
Neptune	నెప్ట్యూన్
Sipligunj	సిప్లిగంజ్
